[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,FECONIBSI-M4-0-MVSH-300K
FILEOPENTIME,31779266.33,01/27/2026,11:02 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E1,MOTOR_HW_VERSION
INFO,MMC271,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.01.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 D1,VSM_HW_VERSION
INFO,250,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,259,PREAMP_SERIAL_NUMBER
INFO,320,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,FeCoNiBSi-M4,SAMPLE_MATERIAL
INFO,FeCoNiBSi-M4-0 grados,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,1.8 mm x 1.4 mm x 0.04 mm,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
sample offset = 35.94 mm touchdown = -0.0299999992421363 mm,31779306.845,300.0449829,999.9545,0.00706845099684583,1.2873064335018E-6,1,0.999253354069792,40.0298881530762,1.99934071182306,4.96000004932284,0.0753469063089935,0.0130341198920378,0.25,-1.54539522517722E-5,0.00706823706328268,-1.07570248756743E-5,300.0449829,300.0449829,999.944,999.965,53.5149781976595,18.9971684930879,24.033268,0,0,0,40,4929,299.83065,999.9545,,,,,,,,,,,,,0,,,,28.45127295,,,,,,300.0449829,,,,
,31779323.82,300.0379639,934.1965,0.00680975082070908,1.33516762131342E-5,1,0.999253354069792,40.0298881530762,1.99904705041322,4.96000004932284,0.0725843528972776,0.0125254385663751,0.25,-1.76932932448057E-5,0.0068095484983078,-1.31684127241296E-5,300.0379639,300.0379639,926.191,942.202,54.8421834233135,18.9682803999574,24.033268,0,0,0,40,4961,299.8452,934.1965,,,,,,,,,,,,,0,,,,28.3091755,,,,,,300.0379639,,,,
,31779326.53,300.03684995,823.959,0.00595824697149998,1.31566770834084E-5,1,0.999253354069792,40.0298881530762,1.99930346288701,4.97000012546778,0.0635173531534794,0.0109530996001432,0.25,-1.61828707890839E-5,0.00595807064715992,-1.2223418551919E-5,300.0361633,300.0375366,812.047,835.871,54.3708614262173,18.9853115900418,24.033268,0,0,0,40,4961,299.82585,823.959,,,,,,,,,,,,,0,,,,28.7369213,,,,,,300.03684995,,,,
,31779329.72,300.037384,695.506,0.00510881455203573,1.30803029317346E-5,1,0.999253354069792,40.0298881530762,1.99916583964474,4.97000012546778,0.054452933943844,0.00942260663825102,0.25,-1.09056009615486E-5,0.00510866130808885,-7.51099815775709E-6,300.037384,300.037384,679.672,711.34,53.1437046510249,18.9679899421936,23.662952,0,0,0,40,4961,299.8501,695.506,,,,,,,,,,,,,0,,,,28.5933704,,,,,,300.037384,,,,
,31779333.07,300.0351257,562.6865,0.0039849701351384,1.29002969827016E-5,1,0.999253354069792,40.0298881530762,1.99896411864462,4.96000004932284,0.0424727875682556,0.0073344201796145,0.25,-9.88459778783309E-6,0.00398485187623953,-7.23671766123066E-6,300.0351257,300.0351257,558.735,566.638,55.5292348917174,18.970152436168,24.033268,0,0,0,40,4961,299.85495,562.6865,,,,,,,,,,,,,0,,,,28.5933704,,,,,,300.0351257,,,,
,31779336.235,300.0334473,443.628,0.00314501145094628,1.27956448818683E-5,1,0.999253354069792,40.0298881530762,1.9991668088874,4.94999997317791,0.0335246038424301,0.00578298342693607,0.25,-8.36768186056125E-6,0.00314491869571725,-6.2778046710177E-6,300.0334473,300.0334473,435.78,451.476,54.7296289165443,18.9740191076807,24.033268,0,0,0,40,4961,299.8452,443.628,,,,,,,,,,,,,0,,,,28.5933704,,,,,,300.0334473,,,,
,31779338.91,300.03335575,339.4605,0.00258766604880504,1.26950472879197E-5,1,0.999253354069792,40.0298881530762,1.9990900878591,4.94999997317791,0.027583452336672,0.00475258546326128,0.25,-7.3906806382644E-6,0.00258759006477981,-5.67100936240288E-6,300.0331116,300.0335999,331.605,347.316,55.0508782379481,18.9732034997512,24.033268,0,0,0,40,4961,299.8274,339.4605,,,,,,,,,,,,,0,,,,28.8804722,,,,,,300.03335575,,,,
,31779341.72,300.03302,230.482,0.00175522763941694,1.25055847792652E-5,1,0.999253354069792,40.0298881530762,1.99867981009099,4.94999997317791,0.0187063459709602,0.00322303948270615,0.25,-5.01627144002174E-6,0.00175517612553811,-3.84982077601929E-6,300.03302,300.03302,225.297,235.667,55.3236665911597,18.9664893207734,24.403639,0,0,0,40,4961,299.83225,230.482,,,,,,,,,,,,,0,,,,28.59482385,,,,,,300.03302,,,,
,31779344.625,300.0322266,110.355,0.000924536346370738,1.26144299536343E-5,1,0.999253354069792,40.0298881530762,1.9992651603951,4.94999997317791,0.00985911699351561,0.00168038407930061,0.25,-4.31010175486616E-6,0.000924510350878881,-3.6956557096513E-6,300.0322266,300.0322266,98.846,121.864,54.5944071827173,18.9811334463014,23.662952,0,0,0,40,4961,299.84035,110.355,,,,,,,,,,,,,0,,,,28.3091755,,,,,,300.0322266,,,,
,31779347.425,300.0315552,7.6205,9.80565055189881E-5,1.2460874438406E-5,1,0.999253354069792,40.0298881530762,1.99859405562554,4.96000004932284,0.00104730046591435,0.00016689260071433,0.25,-1.51537649254115E-6,9.80544545461484E-5,-1.45017984333469E-6,300.0315552,300.0315552,-3.898,19.139,55.0969943205828,18.9634260363117,24.033268,0,0,0,40,4961,299.8598,7.6205,,,,,,,,,,,,,0,,,,28.3091755,,,,,,300.0315552,,,,
