[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,FECONIBSI-M8-15-MVSH-300K
FILEOPENTIME,31777322.14,01/27/2026,10:30 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E1,MOTOR_HW_VERSION
INFO,MMC271,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.01.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 D1,VSM_HW_VERSION
INFO,250,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,259,PREAMP_SERIAL_NUMBER
INFO,320,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,FeCoNiBSi-M8,SAMPLE_MATERIAL
INFO,FeCoNiBSi-M8-15 grados,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,1.35 mm x 1.3 mm x 0.04 mm,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,31777378.83,300.0364685,999.873,,,2,,,,3.73999999924214,,,,,,,300.0364685,300.0364685,999.873,999.873,,,23.662952,,,,-99999999,4929,299.8941,999.873,,,,,,,,,,,,,,,,,,,,,,,300.0364685,,,,
sample offset = 37.24 mm touchdown = 0.0299999992421363 mm,31777394.86,300.0362549,1000.0145,0.0205628948806753,4.16630827815286E-5,1,0.999253354069792,40.0298881530762,1.99926381040774,3.72999999672174,0.22001877213789,0.0331550286809361,0.25,-0.000491808405022822,0.0205625766073566,-0.000478131416698089,300.0362549,300.0362549,999.93,1000.099,54.0926016733711,19.0119613318405,24.033268,0,0,0,40,4929,299.84715,1000.0145,,,,,,,,,,,,,0,,,,28.02917765,,,,,,300.0362549,,,,
,31777414.555,300.0364685,928.8425,0.0200713495942516,4.35693368434228E-5,1,0.999253354069792,40.0298881530762,1.99959605741116,3.72999999672174,0.214474690570154,0.0339982853659408,2.5,-0.000326557460725289,0.0200709368167563,-0.000313212719254739,300.0364685,300.0364685,920.828,936.857,57.4715817620061,18.9939397602086,24.033268,0,0,0,40,4961,299.85845,928.8425,,,,,,,,,,,,,0,,,,27.88846585,,,,,,300.0364685,,,,
,31777417.885,300.03504945,804.1745,0.0194536287336288,3.12036886279973E-5,1,0.999253354069792,40.0298881530762,1.99979519466207,3.72999999672174,0.207631022193708,0.034454143837285,2.5,-0.000175832514004625,0.0194531362838397,-0.000162902722203558,300.034729,300.0353699,796.224,812.125,56.5234663681791,18.9923082149041,24.033268,0,0,0,40,4961,299.8584,804.1745,,,,,,,,,,,,,0,,,,28.3091755,,,,,,300.03504945,,,,
,31777420.67,300.0358887,686.521,0.0186426311056158,2.53481334957828E-5,1,0.999253354069792,40.0298881530762,2.00021527631271,3.71999992057681,0.199088572406666,0.0326045590369882,2.5,-0.000207893599773663,0.0186421847353089,-0.000195501605878206,300.0358887,300.0358887,682.552,690.49,53.4243092894287,18.9896960874292,23.662952,0,0,0,40,4961,299.8617,686.521,,,,,,,,,,,,,0,,,,27.7491798,,,,,,300.0358887,,,,
,31777424.115,300.0350037,555.138,0.0176726367469527,3.97381768154346E-5,1,0.999253354069792,40.0298881530762,1.99964128247192,3.72999999672174,0.188739720722168,0.030548321839967,2.5,-0.00023004885184051,0.0176722361163176,-0.000218300445694548,300.0350037,300.0350037,551.091,559.185,53.374285064198,18.9869355731336,24.033268,0,0,0,40,4961,299.8617,555.138,,,,,,,,,,,,,0,,,,27.7491798,,,,,,300.0350037,,,,
,31777427.235,300.0355225,430.935,0.0164752239096999,3.44295962583493E-5,1,0.999253354069792,40.0298881530762,1.99984887354513,3.74000007286668,0.175918172354739,0.0287716173993329,2.5,-0.000187222786412332,0.0164748319111732,-0.000176270275124192,300.0355225,300.0355225,423.191,438.679,53.1741881632749,18.9853677823455,24.403639,0,0,0,40,4961,299.8423,430.935,,,,,,,,,,,,,0,,,,27.88846585,,,,,,300.0355225,,,,
,31777429.905,300.0346069,320.3425,0.0141323815116494,5.66620957192266E-5,1,0.999253354069792,40.0298881530762,1.99949678420707,3.71999992057681,0.150916117365174,0.0244503906237026,2.5,-0.000181777037335627,0.0141320598299943,-0.000172381204257958,300.0346069,300.0346069,308.61,332.075,54.9273809319096,18.9957299767865,24.033268,0,0,0,40,4961,299.84065,320.3425,,,,,,,,,,,,,0,,,,27.88846585,,,,,,300.0346069,,,,
,31777433.04,300.0343933,205.077,0.0100586342311247,7.37670304815082E-5,1,0.999253354069792,40.0298881530762,1.99979031362134,3.72999999672174,0.107407853548536,0.0175234841495467,2.5,-0.000118245951622173,0.0100583979493433,-0.000111558682706379,300.0343933,300.0343933,197.314,212.84,54.9461400163712,18.9930877961369,24.033268,0,0,0,40,4961,299.8358,205.077,,,,,,,,,,,,,0,,,,27.7491798,,,,,,300.0343933,,,,
,31777436.04,300.0326233,89.126,0.00482728752761047,8.83567025069514E-5,1,0.999253354069792,40.0298881530762,1.99980893768559,3.72999999672174,0.0515717217204607,0.00826924511364747,2.5,-6.99427514042107E-5,0.00482718325414446,-6.67332220997768E-5,300.0326233,300.0326233,76.243,102.009,55.1220064331981,18.9935886259498,24.033268,0,0,0,40,4961,299.8536,89.126,,,,,,,,,,,,,0,,,,28.0277519,,,,,,300.0326233,,,,
,31777438.975,300.0318756,-29.87,-0.000363897310984199,3.47134321029252E-5,1,0.999253354069792,40.0298881530762,2.0001652224895,3.72999999672174,-0.00430040136534819,0.00172809161150212,2.5,0.000225908008642202,-0.00036403605964557,0.000225659172707343,300.0315857,300.0321655,-41.314,-18.426,55.7152624792944,18.9869880599578,24.033268,0,0,0,40,4961,299.8471,-29.87,,,,,,,,,,,,,0,,,,28.1684637,,,,,,300.0318756,,,,
,31777444.71,300.030365,-242.3925,-0.0102332281818795,7.10970545526656E-5,1,0.999253354069792,40.0298881530762,1.99976168604283,3.71999992057681,-0.109639063924207,-0.0158212952498747,0.25,0.000308780392087765,-0.0102331146650905,0.000301971041976187,300.030365,300.030365,-246.205,-238.58,53.0803927409672,18.9990575541872,23.662952,0,0,0,40,4961,299.8293,-242.3925,,,,,,,,,,,,,0,,,,27.88846585,,,,,,300.030365,,,,
,31777447.62,300.028656,-353.747,-0.0135417413219397,4.82880773580224E-5,1,0.999253354069792,40.0298881530762,1.99974576036551,3.74000007286668,-0.144637692845638,-0.0234915183114732,0.25,0.000168858916410537,-0.0135414327819168,0.00015985640230751,300.028656,300.028656,-361.312,-346.182,53.9550350539865,18.9944374404354,23.662952,0,0,0,40,4961,299.852,-353.747,,,,,,,,,,,,,0,,,,28.1684637,,,,,,300.028656,,,,
,31777450.635,300.0278931,-466.767,-0.0152028469580691,4.11306401312066E-5,1,0.999253354069792,40.0298881530762,1.9993048240167,3.74000007286668,-0.162311478936817,-0.0265623774678703,0.25,0.000171290253512885,-0.0152024888520402,0.000161183600472932,300.0278931,300.0278931,-477.963,-455.571,55.2275262832943,18.9999740569728,23.662952,0,0,0,40,4961,299.83905,-466.767,,,,,,,,,,,,,0,,,,28.1684637,,,,,,300.0278931,,,,
,31777453.61,300.0274048,-573.0105,-0.0170234408770037,4.00390219808414E-5,1,0.999253354069792,40.0298881530762,1.99980832764936,3.72999999672174,-0.181881474068783,-0.0292427477751791,0.25,0.000239439535332901,-0.0170230718989344,0.000228121505595587,300.0274048,300.0274048,-584.095,-561.926,56.5680191937752,18.9901794535642,24.033268,0,0,0,40,4961,299.8455,-573.0105,,,,,,,,,,,,,0,,,,28.3091755,,,,,,300.0274048,,,,
,31777456.33,300.02667235,-676.022,-0.0183989048317037,3.47488290452353E-5,1,0.999253354069792,40.0298881530762,1.99966299242083,3.72999999672174,-0.196412566518951,-0.0324649360918164,0.25,0.000177937177076325,-0.0183984528753367,0.000165707386327734,300.0263977,300.026947,-684.573,-667.471,54.8875178774289,18.9890478132265,24.033268,0,0,0,40,4961,299.8471,-676.022,,,,,,,,,,,,,0,,,,28.02917765,,,,,,300.02667235,,,,
,31777459.99,300.0257263,-811.2135,-0.0196931932559468,3.76060738086495E-5,1,0.999253354069792,40.0298881530762,1.99969985100134,3.74000007286668,-0.210202571817443,-0.0349235233093153,0.25,0.000174109130455023,-0.0196926993738744,0.000161019384774214,300.0257263,300.0257263,-818.495,-803.932,55.0274293823712,18.9910774828727,24.033268,0,0,0,40,4961,299.84065,-811.2135,,,,,,,,,,,,,0,,,,28.3091755,,,,,,300.0257263,,,,
,31777465.54,300.0248413,-988.1625,-0.0209314840588236,4.67918442107718E-5,1,0.999253354069792,40.0298881530762,1.99989032382538,3.72999999672174,-0.223492838565331,-0.0366266964589773,2.5,0.000231094829541143,-0.0209309904732627,0.000217180946935527,300.0248413,300.0248413,-990.629,-985.696,56.3272776098521,18.9969939972282,24.033268,0,0,0,40,4961,299.84225,-988.1625,,,,,,,,,,,,,0,,,,27.7491798,,,,,,300.0248413,,,,
,31777474.125,300.0246277,-1000.0175,-0.0211037251692466,3.51579313240694E-5,1,0.999253354069792,40.0298881530762,1.99990365938891,3.72999999672174,-0.225285843299901,-0.0371994338605808,2.5,0.000207556605856283,-0.0211032107932928,0.000193528946170817,300.0246277,300.0246277,-1000.046,-999.989,55.4854636946405,18.9839880610714,23.662952,0,0,0,40,4929,299.84065,-1000.0175,,,,,,,,,,,,,0,,,,28.0277519,,,,,,300.0246277,,,,
,31777491.505,300.0235291,-937.764,-0.0207219248095803,3.40853383003471E-5,1,0.999253354069792,40.0298881530762,2.00020773486921,3.72999999672174,-0.221249510391146,-0.0364897096226002,2.5,0.000207744393805477,-0.0207214232685811,0.000193970473761274,300.0235291,300.0235291,-947.144,-928.384,56.1701702774867,18.9945771068905,23.662952,0,0,0,40,4961,299.84365,-937.764,,,,,,,,,,,,,0,,,,28.1684637,,,,,,300.0235291,,,,
,31777494.615,300.0228271,-813.4715,-0.0201649010446961,3.75996395756876E-5,1,0.999253354069792,40.0298881530762,1.9999848664499,3.72999999672174,-0.215294564139533,-0.0354176979957256,2.5,0.000210357127408441,-0.0201644190342853,0.000196953724040118,300.0228271,300.0228271,-821.507,-805.436,56.1725151630444,18.992386576012,24.033268,0,0,0,40,4961,299.8566,-813.4715,,,,,,,,,,,,,0,,,,27.88846585,,,,,,300.0228271,,,,
,31777497.61,300.022522,-689.6655,-0.0188577933857094,4.01905266236393E-5,1,0.999253354069792,40.0298881530762,2.00006246049421,3.72999999672174,-0.201346509325596,-0.0331226156729756,2.5,0.00019676914308052,-0.0188573428283087,0.000184233917405006,300.022522,300.022522,-698.989,-680.342,55.7230787644867,18.9885715728379,24.403639,0,0,0,40,4961,299.84685,-689.6655,,,,,,,,,,,,,0,,,,28.3091755,,,,,,300.022522,,,,
,31777500.69,300.0230103,-574.685,-0.0180854716351348,3.89441317891448E-5,1,0.999253354069792,40.0298881530762,2.00022633184552,3.72999999672174,-0.193094507332919,-0.0318880058113135,2.5,0.000177503513724659,-0.0180850317473448,0.00016548217959764,300.0230103,300.0230103,-582.587,-566.783,56.0982604537175,18.996816968416,23.662952,0,0,0,40,4961,299.8533,-574.685,,,,,,,,,,,,,0,,,,28.0277519,,,,,,300.0230103,,,,
,31777503.745,300.0231934,-449.981,-0.0158160678027247,4.63923689858797E-5,1,0.999253354069792,40.0298881530762,2.00031410375214,3.72999999672174,-0.168948315102661,-0.0274503625994898,2.5,0.000196269926871054,-0.0158157102234962,0.000185755259156042,300.0231934,300.0231934,-453.913,-446.049,56.3468183228329,18.9909752716938,23.662952,0,0,0,40,4961,299.8436,-449.981,,,,,,,,,,,,,0,,,,28.1684637,,,,,,300.0231934,,,,
,31777506.865,300.0206909,-331.2015,-0.0142743227815847,5.17437876618953E-5,1,0.999253354069792,40.0298881530762,2.00020300203303,3.74999991618097,-0.152431119065367,-0.0250020777472977,2.5,0.000155663972014124,-0.0142739871774434,0.000146174541225195,300.0206909,300.0206909,-339.067,-323.336,56.7517018957945,18.988905233634,23.292694,0,0,0,40,4961,299.8355,-331.2015,,,,,,,,,,,,,0,,,,28.3091755,,,,,,300.0206909,,,,
,31777510.095,300.0212402,-208.0505,-0.00985600363621212,6.63028164236529E-5,1,0.999253354069792,40.0298881530762,2.0003948684824,3.72999999672174,-0.105253157147867,-0.0172973768508722,2.5,0.000104423768878635,-0.00985576966611052,9.78717031452162E-5,300.0212402,300.0212402,-211.926,-204.175,56.086536025929,18.9906251068997,23.662952,0,0,0,40,4961,299.8388,-208.0505,,,,,,,,,,,,,0,,,,28.1684637,,,,,,300.0212402,,,,
,31777512.76,300.0210876,-98.405,-0.00529985436457532,7.48676519246361E-5,1,0.999253354069792,40.0298881530762,2.00045700569768,3.72999999672174,-0.0566409954632807,-0.00906365133170035,2.5,7.84710817336978E-5,-0.00529974341910205,7.49472234854042E-5,300.0210876,300.0210876,-106.177,-90.633,55.7770111323136,18.9951978728742,24.033268,0,0,0,40,4961,299.84525,-98.405,,,,,,,,,,,,,0,,,,28.3091755,,,,,,300.0210876,,,,
,31777515.575,300.02072145,8.123,-4.20218422980263E-5,3.36830701446159E-5,1,0.999253354069792,40.0298881530762,2.00018533372938,3.72999999672174,-0.000494749888185894,0.000188980882789883,2.5,2.50949116505292E-5,-4.20372238270387E-5,2.50662189660311E-5,300.0204773,300.0209656,-3.397,19.643,56.4062220902944,18.9907821307875,24.033268,0,0,0,40,4961,299.8485,8.123,,,,,,,,,,,,,0,,,,28.3091755,,,,,,300.02072145,,,,
,31777521.485,300.0195923,237.593,0.00813864828728587,6.90845298105853E-5,1,0.999253354069792,40.0298881530762,2.00043821384448,3.72999999672174,0.0869073378704619,0.0144045758699042,0.25,-7.50906082806064E-5,0.00813844820401604,-6.96803904559239E-5,300.0195923,300.0195923,233.772,241.414,55.8153109297559,18.9923228694404,23.292694,0,0,0,40,4961,299.83065,237.593,,,,,,,,,,,,,0,,,,28.0277519,,,,,,300.0195923,,,,
,31777524.555,300.0183716,346.6545,0.01203269631606,6.04401582854457E-5,1,0.999253354069792,40.0298881530762,2.00050325669118,3.74999991618097,0.128534526784372,0.0210622623146405,0.25,-0.000133064250707858,0.0120324157703786,-0.000125065253413297,300.0183716,300.0183716,342.919,350.39,54.5537624997173,18.9932451892456,23.662952,0,0,0,40,4961,299.8436,346.6545,,,,,,,,,,,,,0,,,,28.3091755,,,,,,300.0183716,,,,
,31777527.385,300.0163269,453.9725,0.0149070136002157,4.68772483419556E-5,1,0.999253354069792,40.0298881530762,2.00060815598208,3.74999991618097,0.159194098082496,0.0263924969782591,0.25,-0.000136931841580003,0.0149066486662992,-0.000127022536792682,300.0163269,300.0163269,446.417,461.528,53.6025205918134,18.9884092228071,23.662952,0,0,0,40,4961,299.8307,453.9725,,,,,,,,,,,,,0,,,,28.1684637,,,,,,300.0163269,,,,
,31777532.54,300.0158997,650.7155,0.0182996723268568,4.00250719410247E-5,1,0.999253354069792,40.0298881530762,2.00025765549208,3.72999999672174,0.19537745134317,0.0323061245609782,2.5,-0.000175857807463032,0.0182992298750022,-0.000163693881963432,300.0158997,300.0158997,639.5,661.931,55.7832641604674,18.9926042738019,23.662952,0,0,0,40,4961,299.8436,650.7155,,,,,,,,,,,,,0,,,,28.3091755,,,,,,300.0158997,,,,
,31777535.665,300.0143127,767.287,0.0190204940975285,3.69172875410376E-5,1,0.999253354069792,40.0298881530762,2.00041717920521,3.71999992057681,0.203096972767538,0.0335345933904671,2.5,-0.000187157915939589,0.0190200383728739,-0.000174515370768557,300.0143127,300.0143127,763.617,770.957,56.2655289568329,18.9959227580267,23.662952,0,0,0,40,4961,299.85335,767.287,,,,,,,,,,,,,0,,,,28.0277519,,,,,,300.0143127,,,,
,31777538.695,300.014679,880.3,0.0199190075823967,3.51400650788806E-5,1,0.999253354069792,40.0298881530762,2.00046551710967,3.72999999672174,0.212679175520329,0.0352156423091638,2.5,-0.00018698543531482,0.0199185239818656,-0.000173745077315834,300.014679,300.014679,876.65,883.95,56.2272291593906,18.9984757645661,23.662952,0,0,0,40,4961,299.8339,880.3,,,,,,,,,,,,,0,,,,28.0277519,,,,,,300.014679,,,,
,31777540.945,300.0153809,958.898,0.0206931791582105,4.01876886413329E-5,1,0.999253354069792,40.0298881530762,2.00038097703931,3.72999999672174,0.220913080825304,0.0367150586294628,2.5,-0.000181849808805402,0.0206926679817444,-0.000168095681846888,300.0153809,300.0153809,952.279,965.517,56.1521928215444,18.9912946581787,24.033268,0,0,0,40,4961,299.84015,958.898,,,,,,,,,,,,,0,,,,28.1684637,,,,,,300.0153809,,,,
,31777552.45,300.01373295,1000.054,0.0210339963914774,3.36548611598531E-5,1,0.999253354069792,40.0298881530762,2.00010640427157,3.74000007286668,0.224535770476338,0.037237126543616,2.5,-0.000192139310740918,0.0210334830528276,-0.000178158864128779,300.0133057,300.0141602,1000.03,1000.078,55.873151440179,18.9929850075743,24.033268,0,0,0,40,4929,299.84665,1000.054,,,,,,,,,,,,,0,,,,28.3091755,,,,,,300.01373295,,,,
