[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,FECONIBSI-M1-45-MVSH-300K
FILEOPENTIME,31770342.72,01/27/2026,8:34 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E1,MOTOR_HW_VERSION
INFO,MMC271,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.01.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 D1,VSM_HW_VERSION
INFO,250,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,259,PREAMP_SERIAL_NUMBER
INFO,320,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,FeCoNiBSi-M1,SAMPLE_MATERIAL
INFO,FeCoNiBSi-M1-45 grados,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,2.9 mm x 1.85 mm x 0.04 mm,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,31770458.86,300.02360535,-13.852,-0.00237727843634949,0.000743595714037486,1,0.999253354069792,40.0298881530762,1.98630859417748,5.7600000873208,-0.0250221083835178,-0.00525361077437618,2.5,-7.96057075624388E-5,-0.00237715218750249,-8.11825325184874E-5,300.0235901,300.0236206,-21.269,-6.435,52.2745337376401,18.9846457172382,24.033268,0,0,0,40,4961,299.8915,-13.852,,,,,,,,,,,,,0,,,,26.004879,,,,,,300.02360535,,,,
,31770462.045,300.02325435,-130.9155,-0.0460624130875715,0.000475911608925752,1,0.999253354069792,40.0298881530762,1.987355077027,5.7600000873208,-0.488230328818194,-0.0838405977668958,2.5,0.000157276550730037,-0.0460610966870483,0.000126671381966423,300.0231628,300.0233459,-137.519,-124.312,52.0963224352555,18.9889770797607,24.403639,0,0,0,40,4961,299.8898,-130.9155,,,,,,,,,,,,,0,,,,26.1347828,,,,,,300.02325435,,,,
,31770465.27,300.02282715,-233.1475,-0.065026117370711,8.19567926181654E-5,1,0.999253354069792,40.0298881530762,1.98642440953572,5.7600000873208,-0.689054348504838,-0.117563690225031,2.5,0.000291990611317079,-0.0650243066993116,0.00024878448261306,300.0226746,300.0229797,-240.796,-225.499,53.5009088843133,19.0005220334139,24.033268,0,0,0,40,4961,299.8949,-233.1475,,,,,,,,,,,,,0,,,,26.1347828,,,,,,300.02282715,,,,
,31770468.05,300.0228271,-321.53,-0.0676949189501903,5.36711885721274E-5,1,0.999253354069792,40.0298881530762,1.98633705161595,5.7600000873208,-0.717349135774073,-0.122128266190688,2.5,0.000328086937465515,-0.0676930502672684,0.000283110124882396,300.0228271,300.0228271,-328.099,-314.961,53.0248971161018,18.9781306871182,24.033268,0,0,0,40,4961,299.9117,-321.53,,,,,,,,,,,,,0,,,,26.1347828,,,,,,300.0228271,,,,
,31770471.005,300.0215454,-414.988,-0.0703683899738085,3.09823053706878E-5,1,0.999253354069792,40.0298881530762,1.98640511147347,5.7600000873208,-0.745775622208997,-0.126545737318745,2.5,0.000379759771660086,-0.0703664765054853,0.000333002172867517,300.0215454,300.0215454,-421.45,-408.526,53.493092599121,18.9804026582765,24.403639,0,0,0,40,4961,299.8915,-414.988,,,,,,,,,,,,,0,,,,26.1347828,,,,,,300.0215454,,,,
,31770473.82,300.0210571,-509.0095,-0.0721563417114418,2.52397661780738E-5,1,0.999253354069792,40.0298881530762,1.98641579219572,5.7600000873208,-0.764746074189696,-0.129661839281708,2.5,0.000398842041059789,-0.0721543874336659,0.000350897814184924,300.0210571,300.0210571,-516.499,-501.52,52.5137120645248,18.9816366228223,24.403639,0,0,0,40,4961,299.8982,-509.0095,,,,,,,,,,,,,0,,,,26.1347828,,,,,,300.0210571,,,,
,31770476.9,300.0223999,-612.3065,-0.0735414831394065,2.55232071001467E-5,1,0.999253354069792,40.0298881530762,1.98625000392962,5.75000001117587,-0.779317161756452,-0.132409195200584,2.5,0.00038110445286098,-0.0735394705439758,0.000332240478144167,300.0223999,300.0223999,-621.872,-602.741,51.9087315906401,18.9889183066986,24.403639,0,0,0,40,4961,299.89485,-612.3065,,,,,,,,,,,,,0,,,,26.004879,,,,,,300.0223999,,,,
,31770480.065,300.0211182,-711.5575,-0.0746827446955461,1.8889857568153E-5,1,0.999253354069792,40.0298881530762,1.98641863100021,5.7600000873208,-0.791492431140394,-0.134377048937187,2.5,0.000396262096789945,-0.0746807107236137,0.000346638559205684,300.0211182,300.0211182,-722.19,-700.925,52.4042840718325,18.9871700694447,24.774065,0,0,0,40,4961,299.88725,-711.5575,,,,,,,,,,,,,0,,,,26.004879,,,,,,300.0211182,,,,
,31770483.025,300.0211792,-803.9465,-0.0755884229312216,1.90968907965179E-5,1,0.999253354069792,40.0298881530762,1.98671436817013,5.7600000873208,-0.801232348754297,-0.135868519962423,2.5,0.000415935552107075,-0.0755863740554598,0.000365710579927716,300.0211792,300.0211792,-807.126,-800.767,52.1330589756594,18.9802671933908,24.033268,0,0,0,40,4961,299.8889,-803.9465,,,,,,,,,,,,,0,,,,26.1347828,,,,,,300.0211792,,,,
,31770485.71,300.0197296,-888.448,-0.0761505156617298,2.00891041183922E-5,1,0.999253354069792,40.0298881530762,1.98698206131199,5.7600000873208,-0.807317506668432,-0.136764630392901,2.5,0.000431478033220299,-0.0761484642411063,0.000380879668685374,300.0192871,300.0201721,-891.601,-885.295,52.2690623380055,18.9804731015847,24.774065,0,0,0,40,4961,299.8889,-888.448,,,,,,,,,,,,,0,,,,26.004879,,,,,,300.0197296,,,,
,31770488.635,300.01898195,-977.5525,-0.0771203682020413,1.80685041021026E-5,1,0.999253354069792,40.0298881530762,1.98664536477729,5.75000001117587,-0.817380096086214,-0.138981251743754,2.5,0.000390020863844153,-0.0771182617669577,0.000338779679236804,300.0184021,300.0195618,-982.4,-972.705,54.5944071827173,18.9825041387348,24.403639,0,0,0,40,4961,299.8872,-977.5525,,,,,,,,,,,,,0,,,,26.004879,,,,,,300.01898195,,,,
,31770498.14,300.0186157,-999.888,-0.077383618847499,1.39644521131168E-5,1,0.999253354069792,40.0298881530762,1.98657242175573,5.7600000873208,-0.820176890387783,-0.139248745212467,2.5,0.000410426083122154,-0.0773815194944928,0.000359015021970805,300.0186157,300.0186157,-999.891,-999.885,52.5559200045633,18.9800664102805,24.403639,0,0,0,40,4929,299.9142,-999.888,,,,,,,,,,,,,0,,,,26.1347828,,,,,,300.0186157,,,,
