[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,FECONIBSI-M8-30-MVSH-300K
FILEOPENTIME,31772048.80,01/27/2026,9:02 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E1,MOTOR_HW_VERSION
INFO,MMC271,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.01.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 D1,VSM_HW_VERSION
INFO,250,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,259,PREAMP_SERIAL_NUMBER
INFO,320,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,FeCoNiBSi-M8,SAMPLE_MATERIAL
INFO,FeCoNiBSi-M8-30 grados,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,1.35 mm x 1.3 mm x 0.04 mm,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,31772107.53,300.0353699,999.785,,,2,,,,5.23999999924214,,,,,,,300.0353699,300.0353699,999.785,999.785,,,24.403639,,,,-99999999,4929,299.8515,999.785,,,,,,,,,,,,,,,,,,,,,,,300.0353699,,,,
sample offset = 35.74 mm touchdown = 0.0299999992421363 mm,31772123.585,300.0336609,999.858,,,1,0.999253354069792,40.0298881530762,1.97818884084452,5.22999977692962,0.254493631629595,0.044009187198177,0.25,,,,300.0336609,300.0336609,999.817,999.899,53.0882090261595,19.005952058644,24.033268,1,0,,40,4929,299.88075,999.858,,,,,,,,,,,,,0,,,,25.8762913,,,,,,300.0336609,,,,
,31772143.48,300.0322571,927.2835,0.02498190869476,9.41450865237468E-6,1,0.999253354069792,40.0298881530762,1.98912659888866,5.23999985307455,0.265003582742331,0.0455835256672802,2.5,-7.83230084536118E-5,0.024981181081987,-6.17233616430903E-5,300.0322571,300.0322571,923.276,931.291,53.3164445537749,19.0191658829952,24.403639,0,0,0,40,4961,299.85315,927.2835,,,,,,,,,,,,,0,,,,25.6177998,,,,,,300.0322571,,,,
,31772146.54,300.0320129,806.539,0.024089626103677,1.80065046669037E-5,1,0.999253354069792,40.0298881530762,1.98866847028253,5.23999985307455,0.255424113345655,0.0442773395832936,2.5,-4.42424331847913E-5,0.0240889039110066,-2.82364492846777E-5,300.0320129,300.0320129,798.636,814.442,53.137451622871,18.9884596485598,24.403639,0,0,0,40,4961,299.85315,806.539,,,,,,,,,,,,,0,,,,25.8762913,,,,,,300.0320129,,,,
,31772149.215,300.0313568,696.7805,0.0233065507219938,1.27481625022197E-5,1,0.999253354069792,40.0298881530762,1.98844091933556,5.23999985307455,0.247129239576369,0.042632914634815,2.5,-6.17158524094227E-5,0.0233058651701865,-4.62295042786567E-5,300.0312195,300.0314941,684.906,708.655,51.9376518458516,19.0105641236853,24.033268,0,0,0,40,4961,299.85475,696.7805,,,,,,,,,,,,,0,,,,25.8762913,,,,,,300.0313568,,,,
,31772152.265,300.0307617,578.1925,0.0223268697374142,1.97618483062975E-5,1,0.999253354069792,40.0298881530762,1.98854861542426,5.22999977692962,0.236749897175455,0.0408636114562629,2.5,-5.71744378024587E-5,0.0223262122211274,-4.23389402745537E-5,300.0307617,300.0307617,568.934,587.451,53.3195710678518,19.0060837864504,24.403639,0,0,0,40,4961,299.8548,578.1925,,,,,,,,,,,,,0,,,,25.6177998,,,,,,300.0307617,,,,
,31772155.13,300.030365,464.266,0.0210021519833843,2.45268503547395E-5,1,0.999253354069792,40.0298881530762,1.98867841806947,5.22999977692962,0.22272478908353,0.0383954274450019,2.5,-5.81239977583133E-5,0.0210015367049724,-4.41687134825068E-5,300.030365,300.030365,456.392,472.14,52.7231885076786,19.0001823867265,24.403639,0,0,0,40,4961,299.85965,464.266,,,,,,,,,,,,,0,,,,25.8762913,,,,,,300.030365,,,,
,31772158.055,300.0297852,352.0635,0.0187446585790695,4.51471198876956E-5,1,0.999253354069792,40.0298881530762,1.98751420406632,5.22999977692962,0.198694627962212,0.0341274214215987,2.5,-6.33725905821016E-5,0.018744117418019,-5.09159771085628E-5,300.0296021,300.0299683,344.29,359.837,53.9644145962173,19.0049839828399,24.403639,0,0,0,40,4961,299.8418,352.0635,,,,,,,,,,,,,0,,,,25.8762913,,,,,,300.0297852,,,,
,31772160.955,300.02946475,237.814,0.0143911286965323,8.75766806536653E-5,1,0.999253354069792,40.0298881530762,1.98985060155775,5.22999977692962,0.152724714745596,0.026192997011559,2.5,-5.21980006533407E-5,0.0143907157576633,-4.2634349760966E-5,300.0291443,300.0297852,230.023,245.605,52.8826407256018,18.979974316725,24.033268,0,0,0,40,4961,299.84345,237.814,,,,,,,,,,,,,0,,,,26.004879,,,,,,300.02946475,,,,
,31772163.98,300.0286865,122.8545,0.00793500557359298,0.000110700850484408,1,0.999253354069792,40.0298881530762,1.98828552385718,5.23999985307455,0.0841830549538098,0.0142222493514624,2.5,-4.85257083647318E-5,0.00793479123269921,-4.32516560125186E-5,300.0286865,300.0286865,111.271,134.438,53.096806939871,19.0040409516193,24.403639,0,0,0,40,4961,299.8353,122.8545,,,,,,,,,,,,,0,,,,26.1347828,,,,,,300.0286865,,,,
,31772166.715,300.0286255,15.059,0.00275720244156121,0.000122354102307975,1,0.999253354069792,40.0298881530762,1.98849225624279,5.23999985307455,0.029259272378078,0.0049137771863285,2.5,-1.95563408631341E-5,0.00275712977639187,-1.77238474679852E-5,300.0286255,300.0286255,6.102,24.016,53.6845915863326,18.9956393815772,23.662952,0,0,0,40,4961,299.8622,15.059,,,,,,,,,,,,,0,,,,25.8749752,,,,,,300.0286255,,,,
,31772172.495,300.0262146,-204.4155,-0.0121188334875502,9.56538451089111E-5,1,0.999253354069792,40.0298881530762,1.98811761451857,5.22000016644597,-0.128500217552438,-0.0221689652622507,0.25,3.1994597036345E-5,-0.0121184793845823,2.39415915554067E-5,300.0262146,300.0262146,-211.916,-196.915,54.8249875958904,19.0128404253008,24.033268,0,0,0,40,4961,299.8508,-204.4155,,,,,,,,,,,,,0,,,,26.1347828,,,,,,300.0262146,,,,
