10,7,17,7870.079,15,7286.2294,0.8824,17008448.88,16.103
9,8,17,-808.76421,0.00064,7750.7291,0.0002,16999131.76,0.00069
8,9,17,1951.701,0.248,7542.3284,0.0146,17002095.24,0.266
7,10,17,16500.452,0.354,6640.4991,0.0208,17017713.96,0.38
6,11,17,34719.58,59.616,5522.7653,3.5068,17037273,64
13,5,18,51792.64,204.165,4976.6306,11.3425,18055601.68,219.18
12,6,18,24919.266,30,6426.1321,1.6667,18026751.93,32.206
11,7,18,13113.167,18.57,7038.5627,1.0316,18014077.56,19.935
10,8,18,-782.81634,0.00064,7767.0981,0.0002,17999159.61,0.00069
9,9,18,873.112,0.463,7631.6383,0.0257,18000937.32,0.497
8,10,18,5317.617,0.363,7341.2577,0.0202,18005708.7,0.39
7,11,18,25037.992,93.881,6202.2176,5.2156,18026879.39,100.785
14,5,19,59770.251,525.363,4719.6346,27.6507,19064166,564
13,6,19,32413.754,98.389,6118.274,5.1784,19034797.59,105.625
12,7,19,15856.255,16.404,6948.5452,0.8634,19017022.39,17.61
11,8,19,3332.858,2.637,7566.4952,0.1388,19003577.97,2.83
10,9,19,-1487.44512,0.00082,7779.0192,0.0002,18998403.16,0.00088
9,10,19,1752.054,0.16,7567.3431,0.0084,19001880.91,0.171
8,11,19,12929.384,10.535,6937.8864,0.5545,19013880.26,11.309
7,12,19,31838.394,60.001,5901.4992,3.1579,19034179.92,64.413
15,5,20,69401.569,546.357,4405.6529,27.3178,20074505.64,586.538
14,6,20,37503.567,230.625,5961.4356,11.5312,20040261.73,247.585
13,7,20,21766.498,78.894,6709.1717,3.9447,20023367.3,84.696
12,8,20,3796.172,0.885,7568.5707,0.0442,20004075.36,0.95
11,9,20,-17.463,0.03,7720.1351,0.0015,19999981.25,0.031
10,10,20,-7041.93217,0.00154,8032.2412,0.0002,19992440.18,0.00165
9,11,20,6850.489,1.109,7298.5028,0.0554,20007354.3,1.19
8,12,20,17477.694,1.863,6728.0252,0.0931,20018763.08,2
16,5,21,78382.887,558.664,4152.5265,26.6031,21084147.49,599.75
15,6,21,45643,596,5674,28,21049000,640
14,7,21,25231.915,134.048,6609.0159,6.3832,21027087.57,143.906
13,8,21,8062.034,12,7389.3747,0.5714,21008654.95,12.882
12,9,21,-47.605,1.8,7738.2934,0.0857,20999948.89,1.932
11,10,21,-5731.776,0.038,7971.7136,0.0018,20993846.69,0.041
10,11,21,-2184.857,0.042,7765.5581,0.002,20997654.46,0.045
9,12,21,10903.851,0.755,7105.0317,0.0359,21011705.76,0.81
8,13,21,27090,600,6297,29,21029082,644
16,6,22,53611.203,231.49,5421.0778,10.5223,22057553.99,248.515
15,7,22,31764.805,207.779,6378.5347,9.4445,22034100.92,223.06
14,8,22,9283.032,56.921,7364.8722,2.5873,22009965.74,61.107
13,9,22,2793.376,12.399,7624.2954,0.5636,22002998.81,13.31
12,10,22,-8024.716,0.018,8080.4656,0.0008,21991385.11,0.018
11,11,22,-5181.391,0.132,7915.6624,0.006,21994437.55,0.141
10,12,22,-399.986,0.159,7662.7645,0.0072,21999570.6,0.17
9,13,22,18201,401,6782,18,22019540,430
8,14,22,33640,500,6044,23,22036114,537
17,6,23,64171,997,5077,43,23068890,1070
16,7,23,36720.429,420.57,6236.6721,18.2856,23039421,451.5
15,8,23,14621.371,121.712,7163.4856,5.2918,23015696.69,130.663
14,9,23,3285.263,33.32,7622.3447,1.4487,23003526.88,35.77
13,10,23,-5154.045,0.104,7955.2561,0.0045,22994466.91,0.112
12,11,23,-9529.85352,0.00181,8111.4936,0.0002,22989769.28,0.00194
11,12,23,-5473.675,0.032,7901.1229,0.0014,22994123.77,0.034
10,13,23,6748.071,0.345,7335.7275,0.015,23007244.35,0.37
9,14,23,23950,500,6554,22,23025711,537
17,7,24,46938,401,5887,17,24050390,430
16,8,24,18500.404,164.874,7039.6855,6.8698,24019861,177
15,9,24,7544.516,97.67,7463.5831,4.0696,24008099.37,104.853
14,10,24,-5951.642,0.513,7993.3252,0.0214,23993610.65,0.55
13,11,24,-8417.901,0.017,8063.4882,0.0007,23990963.01,0.017
12,12,24,-13933.578,0.013,8260.7103,0.0006,23985041.69,0.013
